,Genres2,count,Overall_Genre
274,nederbeat,4,
275,psychedelic rock (early),4,
276,opm,4,
277,operatic pop,4,
278,classical crossover,4,
279,western swing,4,
280,off-color humor,4,
281,comedy hip hop,4,
282,anti-folk,3,
283,indie-pop,3,
284,indie hip hop,3,
285,hardcore punk (early),3,
286,delta blues,3,
287,west coast hip-hop,3,
288,crunk,3,
289,christian hardcore,3,
290,anison,3,
291,hardcore rap,3,
292,emo (early),3,
293,death metal (early),3,
294,swing revival,3,
295,edm,3,
296,futurepop,3,
297,darkwave,3,
298,islamic,3,
299,spiritique,3,
300,sufi,3,
301,bakersfield sound,3,
302,death-doom,3,hard rock
303,dub,3,
304,black metal,3,hard rock
305,horror punk,3,
306,jazz-pop,3,
307,vocal jazz,3,jazz
308,rap rock,3,
309,psychedelic folk,3,
310,new weird america,3,
311,jump blues,3,
312,east coast hip hop,2,
313,chopper,2,
314,traditional irish,2,
315,underground hip hop,2,
316,country-folk,2,
317,melodic death metal,2,
318,k-pop,1,
319,praise and worship,1,
320,deathcore,1,
321,rockfolk rockcountry rockamericana,1,
